Latitude,Longitude (Decimal Degrees),Total Magnetic Field (nT),Corrected Total Magnetic Field (nT)
40.2007,-111.3287,148.0,-121.7
40.2007,-111.3281,162.1,-120.7
40.2007,-111.3278,166.7,-120.3
40.2007,-111.3272,160.7,-119.6
40.2007,-111.3269,150.3,-118.8
40.2007,-111.3263,141.2,-119.5
40.2007,-111.3259,136.0,-120.1
40.2007,-111.3254,132.6,-120.9
40.2007,-111.325,125.8,-121.5
40.2008,-111.3245,115.1,-121.0
40.2008,-111.3241,104.8,-120.8
40.2008,-111.3236,99.0,-120.1
40.2008,-111.3232,97.7,-120.3
40.2008,-111.3227,99.1,-121.2
40.2008,-111.3223,102.0,-122.3
40.2008,-111.3218,105.2,-122.9
40.2008,-111.3214,106.9,-121.8
40.2008,-111.3209,106.6,-121.0
40.2008,-111.3205,106.3,-120.4
40.2008,-111.3199,109.3,-119.1
40.2008,-111.3196,117.1,-118.0
40.2008,-111.319,128.1,-118.9
40.2009,-111.3187,137.8,-119.9
40.2009,-111.3181,140.9,-121.2
40.2009,-111.3178,136.5,-120.8
40.2009,-111.3172,130.7,-119.9
40.2009,-111.3169,131.6,-119.0
40.2009,-111.3163,141.2,-116.7
40.2009,-111.3159,154.1,-116.5
40.2009,-111.3154,164.3,-117.2
40.2009,-111.315,169.9,-118.0
40.2009,-111.3145,172.0,-119.3
40.2009,-111.3141,172.8,-119.3
40.2009,-111.3136,174.2,-117.5
40.2009,-111.3132,176.0,-116.1
40.2009,-111.3127,176.3,-116.1
40.201,-111.3123,174.7,-116.5
40.201,-111.3118,173.3,-119.0
40.201,-111.3114,173.7,-121.0
40.201,-111.3109,177.3,-121.0
40.201,-111.3105,182.5,-120.7
40.201,-111.3101,185.9,-120.2
40.201,-111.3098,187.9,-120.9
40.2009,-111.3093,190.8,-122.2
40.2009,-111.309,193.2,-123.1
40.2009,-111.3085,190.7,-123.5
40.2009,-111.3082,182.8,-124.5
40.2009,-111.3077,171.8,-123.5
40.2009,-111.3074,158.9,-122.8
40.2009,-111.307,145.1,-121.9
40.2009,-111.3067,132.1,-122.2
40.2009,-111.3062,121.1,-122.5
40.2009,-111.3059,111.2,-123.2
40.2009,-111.3054,101.3,-123.4
40.2008,-111.3051,91.7,-122.9
40.2008,-111.3046,84.5,-123.1
40.2008,-111.3043,80.5,-122.8
40.2008,-111.3039,79.4,-123.1
40.2008,-111.3035,80.8,-122.7
40.2008,-111.3031,84.4,-123.4
40.2008,-111.3028,87.3,-123.3
40.2008,-111.3023,87.7,-123.1
40.2008,-111.302,87.2,-122.6
40.2008,-111.3015,89.0,-122.0
40.2008,-111.3012,93.7,-122.1
40.2007,-111.3007,100.0,-122.3
40.2007,-111.3004,106.2,-122.1
40.2007,-111.3,111.0,-122.2
40.2007,-111.2997,113.4,-120.9
40.2007,-111.2992,113.9,-120.3
40.2007,-111.2989,112.5,-120.6
40.2007,-111.2984,110.0,-121.0
40.2007,-111.2981,108.0,-121.1
40.2007,-111.2976,107.5,-121.9
40.2007,-111.2973,108.0,-121.2
40.2007,-111.2969,108.6,-121.2
40.2006,-111.2965,108.2,-120.8
40.2006,-111.2961,107.3,-120.8
40.2006,-111.2958,108.0,-120.6
40.2006,-111.2953,111.0,-119.9
40.2006,-111.295,115.1,-120.1
40.2006,-111.2945,119.5,-120.6
40.2006,-111.2942,124.0,-119.7
40.2006,-111.2937,130.0,-119.3
40.2006,-111.2934,137.1,-119.0
40.2006,-111.293,142.7,-118.3
40.2006,-111.2927,145.9,-118.5
40.2005,-111.2922,148.9,-118.5
40.2005,-111.2919,152.7,-117.9
40.2005,-111.2914,156.6,-117.0
40.2005,-111.2911,156.9,-116.2
40.2005,-111.2906,151.0,-117.6
40.2005,-111.2903,141.4,-117.5
40.2005,-111.2898,134.4,-117.7
40.2005,-111.2895,132.2,-117.8
40.2005,-111.2891,131.1,-117.7
40.2005,-111.2888,126.3,-117.1
40.2005,-111.2883,118.4,-117.2
40.2005,-111.288,112.3,-117.3
40.2004,-111.2875,112.1,-118.8
40.2004,-111.2872,116.3,-118.8
40.2004,-111.2867,120.6,-118.7
40.2004,-111.2864,122.6,-118.8
40.2004,-111.286,122.8,-118.6
40.2004,-111.2856,122.7,-117.8
40.2004,-111.2852,123.9,-117.9
40.2004,-111.2849,126.8,-117.7
40.2004,-111.2844,129.6,-117.5
40.2004,-111.2841,130.1,-118.2
40.2003,-111.2836,126.7,-119.5
40.2003,-111.2833,119.0,-119.7
40.2003,-111.2828,109.9,-118.9
40.2003,-111.2825,103.1,-118.5
40.2003,-111.2821,99.8,-117.3
40.2003,-111.2818,99.0,-117.6
40.2003,-111.2813,99.7,-119.2
40.2003,-111.281,101.9,-120.2
40.2003,-111.2805,105.0,-120.1
40.2003,-111.2802,110.0,-120.4
40.2003,-111.2797,118.1,-119.4
40.2003,-111.2794,125.4,-118.3
40.2002,-111.279,126.7,-118.0
40.2002,-111.2786,123.9,-117.8
40.2002,-111.2782,123.7,-118.0
40.2002,-111.2779,127.9,-118.9
40.2002,-111.2774,133.4,-119.7
40.2002,-111.2771,137.3,-119.6
40.2002,-111.2766,139.1,-118.2
40.2002,-111.2763,138.9,-118.7
40.2002,-111.2758,138.1,-119.2
40.2002,-111.2755,138.4,-121.9
40.2002,-111.2751,139.9,-122.3
40.2001,-111.2748,141.4,-122.4
40.2001,-111.2743,142.9,-122.6
40.2001,-111.274,144.5,-122.0
40.2001,-111.2735,145.5,-122.2
40.2001,-111.2732,144.7,-121.7
40.2001,-111.2727,141.5,-122.1
40.2001,-111.2724,136.2,-122.1
40.2001,-111.272,129.4,-122.1
40.2001,-111.2716,121.1,-122.0
40.2001,-111.2712,111.2,-122.4
40.2001,-111.2709,100.6,-122.5
40.2,-111.2704,91.2,-122.4
40.2,-111.2701,84.7,-122.1
40.2,-111.2696,81.3,-122.4
40.2,-111.2693,80.3,-122.6
40.2,-111.2688,81.5,-122.1
40.2,-111.2685,85.3,-121.8
40.2,-111.2681,91.3,-122.3
40.2,-111.2678,97.8,-121.8
40.2,-111.2673,103.3,-121.3
40.2,-111.267,107.1,-121.2
40.2,-111.2665,108.9,-121.6
40.1999,-111.2662,109.8,-121.6
40.1999,-111.2657,111.3,-121.0
40.1999,-111.2654,113.0,-121.1
40.1999,-111.265,114.1,-120.8
40.1999,-111.2646,114.4,-120.8
40.1999,-111.2642,114.5,-120.5
40.1999,-111.2639,115.1,-120.4
40.1999,-111.2634,116.3,-119.6
40.1999,-111.2631,118.3,-120.3
40.1999,-111.2626,121.5,-120.2
40.1999,-111.2623,126.6,-120.3
40.1998,-111.2618,132.4,-120.1
40.1998,-111.2615,136.7,-119.1
40.1998,-111.2611,139.1,-118.6
40.1998,-111.2608,140.3,-119.5
40.1998,-111.2603,141.2,-119.7
40.1998,-111.26,141.8,-119.4
40.1998,-111.2595,141.7,-119.4
40.1998,-111.2592,140.9,-119.6
40.1998,-111.2587,140.6,-118.9
40.1998,-111.2584,141.8,-118.2
40.1998,-111.258,144.1,-118.0
40.1997,-111.2576,147.1,-118.0
40.1997,-111.2572,150.4,-118.4
40.1997,-111.2569,153.4,-118.5
40.1997,-111.2564,156.2,-118.4
40.1997,-111.2561,159.3,-118.0
40.1997,-111.2556,162.0,-118.0
40.1997,-111.2553,163.7,-117.1
40.1997,-111.2548,164.9,-116.9
40.1997,-111.2545,165.7,-117.2
40.1997,-111.2541,166.6,-117.2
40.1997,-111.2538,168.4,-117.7
40.1996,-111.2533,172.1,-117.7
40.1996,-111.253,176.8,-117.6
40.1996,-111.2525,180.0,-117.4
40.1996,-111.2522,180.4,-116.4
40.1996,-111.2517,178.7,-116.0
40.1996,-111.2514,176.1,-116.7
40.1996,-111.251,172.8,-115.8
40.1996,-111.2506,168.9,-116.4
40.1996,-111.2502,165.8,-116.7
40.1996,-111.2499,164.1,-117.2
40.1996,-111.2494,163.8,-116.4
40.1995,-111.2491,164.3,-116.4
40.1995,-111.2486,163.7,-116.4
40.1995,-111.2483,160.7,-115.7
40.1995,-111.2478,155.6,-115.5
40.1995,-111.2475,149.7,-116.0
40.1995,-111.2471,143.7,-117.0
40.1995,-111.2468,139.0,-116.6
40.1995,-111.2463,136.6,-116.4
40.1995,-111.246,135.5,-115.4
40.1995,-111.2455,133.6,-116.0
40.1995,-111.2452,130.7,-115.7
40.1994,-111.2447,128.4,-116.1
40.1994,-111.2444,127.6,-117.2
40.1994,-111.244,128.0,-115.9
40.1994,-111.2436,128.5,-115.4
40.1994,-111.2432,128.6,-115.9
40.1994,-111.2429,127.3,-115.7
40.1994,-111.2424,125.4,-113.9
40.1994,-111.2421,125.3,-113.9
40.1994,-111.2416,127.0,-114.1
40.1994,-111.2413,128.5,-116.0
40.1994,-111.2408,129.2,-115.0
40.1993,-111.2405,129.5,-115.6
40.1993,-111.2401,129.4,-114.1
40.1993,-111.2398,129.5,-114.1
40.1993,-111.2393,130.3,-113.2
40.1993,-111.239,131.3,-113.5
40.1993,-111.2385,132.0,-113.7
40.1993,-111.2382,132.4,-114.2
40.1993,-111.2377,133.0,-114.2
40.1993,-111.2374,133.5,-113.5
40.1993,-111.237,133.8,-112.8
40.1993,-111.2366,134.3,-111.8
40.1992,-111.2362,135.4,-113.1
40.1992,-111.2359,136.4,-112.9
40.1992,-111.2354,137.1,-113.6
40.1992,-111.2351,137.9,-114.2
40.1992,-111.2346,138.7,-113.5
40.1992,-111.2343,139.2,-112.7
40.1992,-111.2338,139.4,-112.4
40.1992,-111.2335,140.1,-111.7
40.1992,-111.2331,141.4,-110.8
40.1992,-111.2328,142.9,-111.0
40.1992,-111.2323,143.9,-111.6
40.1991,-111.232,144.7,-112.9
40.1991,-111.2315,145.1,-113.7
40.1991,-111.2312,145.1,-113.5
40.1991,-111.2307,144.8,-112.6
40.1991,-111.2304,144.2,-110.8
40.1991,-111.23,144.1,-111.5
40.1991,-111.2296,144.9,-110.4
40.1991,-111.2292,146.4,-110.9
40.1991,-111.2289,147.5,-111.6
40.1991,-111.2284,147.6,-112.7
40.1991,-111.2281,145.7,-112.6
40.199,-111.2276,142.6,-111.3
40.199,-111.2273,139.9,-110.6
40.199,-111.2268,138.0,-109.4
40.199,-111.2265,135.3,-111.0
40.199,-111.2261,130.8,-111.5
40.199,-111.2258,125.8,-111.7
40.199,-111.2253,122.2,-111.8
40.199,-111.225,120.4,-111.5
40.199,-111.2245,119.9,-110.5
40.199,-111.2242,119.8,-110.2
40.199,-111.2237,119.1,-109.2
40.1989,-111.2234,117.7,-109.9
40.1989,-111.223,116.9,-110.7
40.1989,-111.2226,118.6,-111.9
40.1989,-111.2222,122.1,-111.3
40.1989,-111.2219,126.0,-110.9
40.1989,-111.2214,129.3,-110.0
40.1989,-111.2211,131.4,-108.7
40.1989,-111.2206,132.3,-108.9
40.1989,-111.2203,132.7,-108.6
40.1989,-111.2198,132.2,-108.9
40.1989,-111.2195,130.9,-108.6
40.1988,-111.2191,129.8,-109.1
40.1988,-111.2188,129.7,-109.1
40.1988,-111.2183,129.8,-108.3
40.1988,-111.218,128.9,-108.0
40.1988,-111.2175,127.1,-108.4
40.1988,-111.2172,125.0,-108.1
40.1988,-111.2167,123.0,-107.9
40.1988,-111.2164,121.6,-107.1
40.1988,-111.216,120.5,-107.4
40.1988,-111.2156,119.5,-107.9
40.1988,-111.2152,119.0,-106.8
40.1987,-111.2149,119.6,-107.3
40.1987,-111.2144,120.7,-106.9
40.1987,-111.2141,122.0,-106.7
40.1987,-111.2136,123.5,-106.4
40.1987,-111.2133,124.7,-105.5
40.1987,-111.2128,124.4,-106.5
40.1987,-111.2125,122.1,-105.9
40.1987,-111.2121,119.0,-104.9
40.1987,-111.2118,116.4,-104.9
40.1987,-111.2113,114.6,-105.5
40.1987,-111.211,113.6,-105.5
40.1986,-111.2105,113.5,-105.3
40.1986,-111.2102,114.9,-105.6
40.1986,-111.2097,117.9,-105.2
40.1986,-111.2094,121.3,-103.8
40.1986,-111.209,123.9,-103.1
40.1986,-111.2086,126.2,-104.2
40.1986,-111.2082,129.1,-104.3
40.1986,-111.2079,132.1,-102.0
40.1986,-111.2074,134.3,-102.7
40.1986,-111.2071,135.6,-104.1
40.1985,-111.2066,136.9,-103.7
40.1985,-111.2063,137.5,-103.2
40.1985,-111.2058,137.2,-101.9
40.1985,-111.2055,137.6,-102.4
40.1985,-111.2051,140.9,-102.8
40.1985,-111.2048,147.1,-102.8
40.1985,-111.2043,153.3,-101.1
40.1985,-111.204,155.9,-100.8
40.1985,-111.2035,154.2,-101.1
40.1985,-111.2032,150.7,-101.1
40.1985,-111.2027,146.8,-100.7
40.1984,-111.2024,143.6,-100.9
40.1984,-111.202,143.0,-100.4
40.1984,-111.2016,146.2,-100.7
40.1984,-111.2012,150.8,-100.4
40.1984,-111.2009,153.7,-100.7
40.1984,-111.2004,155.1,-100.3
40.1984,-111.2001,156.0,-100.0
40.1984,-111.1995,157.0,-99.2
40.1985,-111.1992,158.3,-98.9
40.1985,-111.1987,159.4,-99.1
40.1985,-111.1983,159.7,-99.1
40.1985,-111.1978,159.4,-99.8
40.1985,-111.1974,158.8,-100.5
40.1986,-111.1969,157.4,-99.6
40.1986,-111.1966,155.2,-99.5
40.1986,-111.1961,152.9,-98.7
40.1986,-111.1957,151.7,-98.0
40.1986,-111.1952,151.5,-98.5
40.1987,-111.1948,151.6,-98.5
40.1987,-111.1943,152.0,-99.2
40.1987,-111.194,153.3,-98.9
40.1987,-111.1934,155.8,-99.0
40.1987,-111.1931,158.7,-99.2
40.1988,-111.1926,161.4,-98.2
40.1988,-111.1922,163.5,-97.8
40.1988,-111.1917,164.5,-97.8
40.1988,-111.1914,164.3,-98.0
40.1988,-111.1908,162.9,-97.6
40.1988,-111.1905,160.9,-97.8
40.1989,-111.19,158.7,-98.4
40.1989,-111.1896,157.3,-98.5
40.1989,-111.1891,157.3,-98.2
40.1989,-111.1888,157.6,-98.2
40.199,-111.1882,157.7,-98.1
40.199,-111.1879,157.6,-97.1
40.199,-111.1874,156.8,-97.6
40.199,-111.187,155.4,-96.9
40.199,-111.1865,154.5,-96.9
40.199,-111.1861,154.7,-97.1
40.1991,-111.1856,155.3,-96.1
40.1991,-111.1853,155.4,-97.1
40.1991,-111.1848,155.3,-97.1
40.1991,-111.1844,155.5,-96.8
40.1991,-111.1839,156.1,-96.0
40.1992,-111.1835,156.9,-96.5
40.1992,-111.183,157.8,-97.0
40.1992,-111.1827,158.7,-97.2
40.1992,-111.1821,158.7,-98.4
40.1992,-111.1818,156.7,-97.7
40.1993,-111.1813,153.3,-97.6
40.1993,-111.1809,150.4,-96.9
40.1993,-111.1804,149.4,-96.6
40.1993,-111.1801,150.4,-96.6
40.1993,-111.1795,152.2,-96.8
40.1994,-111.1792,152.9,-97.1
40.1994,-111.1787,151.0,-95.6
40.1994,-111.1783,147.9,-93.6
40.1994,-111.1778,147.0,-91.6
40.1994,-111.1774,148.5,-90.3
40.1995,-111.1769,149.9,-89.3
40.1995,-111.1766,149.4,-90.3
40.1995,-111.1761,147.5,-91.6
40.1995,-111.1757,145.2,-91.9
40.1995,-111.1752,143.2,-92.2
40.1996,-111.1748,141.5,-91.3
40.1996,-111.1743,140.1,-91.2
40.1996,-111.174,139.3,-90.8
40.1996,-111.1734,138.8,-90.8
40.1996,-111.1731,138.6,-91.0
40.1997,-111.1726,138.4,-91.6
40.1997,-111.1722,137.9,-91.8
40.1997,-111.1717,136.9,-91.3
40.1997,-111.1714,136.0,-91.3
40.1997,-111.1708,136.1,-89.8
40.1998,-111.1705,137.5,-88.9
40.1998,-111.17,140.1,-88.7
40.1998,-111.1696,142.8,-88.4
40.1998,-111.1691,143.5,-88.8
40.1998,-111.1688,142.4,-88.8
40.1999,-111.1682,141.4,-88.6
40.1999,-111.1679,141.7,-88.1
40.1999,-111.1674,143.2,-88.6
40.1999,-111.167,145.4,-87.2
40.1999,-111.1665,147.6,-86.1
40.1999,-111.1661,149.3,-84.1
40.2,-111.1656,150.7,-81.6
40.2,-111.1653,151.9,-78.8
40.2,-111.1648,152.7,-76.3
40.2,-111.1644,153.5,-73.7
40.2,-111.1639,154.5,-72.1
40.2001,-111.1635,155.4,-71.4
40.2001,-111.163,155.8,-71.7
40.2001,-111.1627,156.1,-70.9
40.2001,-111.1621,156.8,-70.8
40.2001,-111.1618,157.3,-70.3
40.2002,-111.1613,157.3,-71.6
40.2002,-111.1609,157.4,-71.6
40.2002,-111.1604,157.8,-73.0
40.2002,-111.1601,158.3,-74.0
40.2002,-111.1595,158.3,-76.0
40.2003,-111.1592,158.2,-77.0
40.2003,-111.1587,158.3,-76.8
40.2003,-111.1583,158.2,-77.2
40.2003,-111.1578,157.8,-77.8
40.2003,-111.1575,157.4,-79.2
40.2004,-111.1569,157.3,-79.7
40.2004,-111.1566,157.4,-81.1
40.2004,-111.1561,157.5,-82.4
40.2004,-111.1557,157.3,-83.3
40.2004,-111.1552,156.8,-85.2
40.2005,-111.1548,156.0,-86.6
40.2005,-111.1543,155.0,-87.0
40.2005,-111.154,154.4,-87.8
40.2005,-111.1535,154.3,-88.0
40.2005,-111.1531,154.2,-88.7
40.2006,-111.1526,154.3,-88.6
40.2006,-111.1522,154.7,-89.3
40.2006,-111.1517,155.4,-88.8
40.2006,-111.1514,156.2,-89.4
40.2006,-111.1508,157.1,-89.4
40.2007,-111.1505,158.3,-89.3
40.2007,-111.15,159.6,-88.1
40.2007,-111.1496,160.4,-87.8
40.2007,-111.1491,160.8,-88.3
40.2007,-111.1488,161.4,-87.5
40.2008,-111.1482,162.0,-88.0
40.2008,-111.1479,162.0,-88.0
40.2008,-111.1474,161.6,-87.7
40.2008,-111.147,161.5,-87.4
40.2008,-111.1465,161.6,-87.4
40.2008,-111.1461,161.4,-86.9
40.2009,-111.1456,161.1,-86.7
40.2009,-111.1453,161.1,-85.9
40.2009,-111.1448,161.4,-86.4
40.2009,-111.1444,161.4,-86.4
40.2009,-111.1439,161.2,-86.6
40.201,-111.1435,160.8,-86.7
40.201,-111.143,160.4,-86.7
40.201,-111.1427,159.9,-86.7
40.201,-111.1421,160.0,-86.6
40.201,-111.1418,160.8,-85.9
40.2011,-111.1413,161.5,-86.1
40.2011,-111.1409,161.6,-85.8
40.2011,-111.1404,161.3,-86.3
40.2011,-111.1401,161.1,-85.9
40.2011,-111.1395,160.9,-86.3
40.2012,-111.1392,160.5,-86.1
40.2012,-111.1387,159.9,-85.7
40.2012,-111.1383,159.6,-85.6
40.2012,-111.1378,159.4,-85.6
40.2012,-111.1375,159.0,-85.9
40.2013,-111.1369,158.5,-85.4
40.2013,-111.1366,158.2,-84.9
40.2013,-111.1361,158.2,-83.4
40.2013,-111.1357,158.3,-83.9
40.2013,-111.1352,158.4,-83.1
40.2014,-111.1348,158.9,-82.6
40.2014,-111.1343,160.0,-81.0
40.2014,-111.134,161.3,-78.8
40.2014,-111.1335,162.4,-75.9
40.2014,-111.1331,164.0,-72.6
40.2015,-111.1326,166.2,-69.9
40.2015,-111.1322,168.1,-66.2
40.2015,-111.1317,169.4,-64.2
40.2015,-111.1314,170.5,-62.7
40.2015,-111.1308,171.4,-60.9
40.2015,-111.1305,171.8,-57.8
40.2016,-111.13,172.0,-55.9
40.2016,-111.1296,172.2,-53.6
40.2016,-111.1291,172.5,-51.1
40.2016,-111.1288,172.1,-49.8
40.2016,-111.1282,170.8,-49.3
40.2017,-111.1279,169.0,-48.4
40.2017,-111.1274,167.3,-47.9
40.2017,-111.127,165.6,-47.2
40.2017,-111.1265,164.0,-45.5
40.2017,-111.1261,162.5,-45.0
40.2018,-111.1256,161.5,-44.3
40.2018,-111.1253,160.6,-44.8
40.2018,-111.1248,159.5,-44.6
40.2018,-111.1244,158.2,-45.3
40.2018,-111.1239,157.3,-45.2
40.2019,-111.1235,156.9,-45.2
40.2019,-111.123,156.7,-45.4
40.2019,-111.1227,156.4,-44.9
40.2019,-111.1221,156.1,-45.1
40.2019,-111.1218,155.8,-45.8
40.202,-111.1213,155.7,-46.6
40.202,-111.1209,155.8,-47.1
40.202,-111.1204,156.0,-47.6
40.202,-111.1201,156.0,-47.8
40.202,-111.1195,155.6,-48.3
40.2021,-111.1192,155.0,-49.4
40.2021,-111.1187,154.4,-50.6
40.2021,-111.1183,153.6,-52.3
40.2021,-111.1178,152.2,-53.4
40.2021,-111.1175,150.4,-54.2
40.2022,-111.1169,148.8,-55.0
40.2022,-111.1166,146.9,-56.8
40.2022,-111.1161,144.9,-58.8
40.2022,-111.1157,143.4,-60.1
40.2022,-111.1152,142.5,-62.1
40.2022,-111.1148,141.6,-63.8
40.2023,-111.1143,140.9,-64.6
40.2023,-111.114,140.9,-66.1
40.2023,-111.1135,141.7,-67.4
40.2023,-111.1131,142.9,-69.5
40.2023,-111.1126,144.4,-70.5
40.2024,-111.1122,146.1,-71.9
40.2024,-111.1117,147.2,-72.4
40.2024,-111.1114,146.5,-72.6
40.2024,-111.1108,143.3,-73.0
40.2024,-111.1105,138.7,-73.3
40.2025,-111.11,133.8,-74.2
40.2025,-111.1096,129.1,-75.1
40.2025,-111.1091,126.0,-75.6
40.2025,-111.1088,125.5,-75.4
40.2025,-111.1082,126.8,-74.2
40.2026,-111.1079,128.4,-73.3
40.2026,-111.1074,129.0,-72.7
40.2026,-111.107,128.1,-73.3
40.2026,-111.1065,127.4,-73.2
40.2026,-111.1062,128.8,-73.1
40.2027,-111.1056,132.0,-73.4
40.2027,-111.1053,135.1,-73.2
40.2027,-111.1048,136.6,-72.5
40.2027,-111.1045,134.7,-71.7
40.2027,-111.104,128.3,-71.1
40.2027,-111.1037,119.4,-71.2
40.2027,-111.1032,111.5,-70.6
40.2027,-111.1029,106.9,-70.2
40.2027,-111.1024,106.0,-69.9
40.2027,-111.1021,107.7,-69.6
40.2027,-111.1017,110.8,-69.5
40.2027,-111.1014,114.0,-70.4
40.2027,-111.1009,117.3,-69.8
40.2027,-111.1006,120.9,-68.7
40.2027,-111.1001,125.1,-68.3
40.2027,-111.0998,129.5,-68.1
40.2027,-111.0993,133.9,-68.4
40.2027,-111.099,138.2,-68.1
40.2027,-111.0986,142.3,-67.0
40.2027,-111.0983,145.6,-67.1
40.2027,-111.0978,148.4,-66.5
40.2027,-111.0975,150.2,-66.6
40.2027,-111.097,149.9,-64.6
40.2027,-111.0967,146.9,-65.4
40.2027,-111.0963,142.0,-65.7
40.2027,-111.0959,134.9,-65.4
40.2027,-111.0955,125.9,-65.5
40.2027,-111.0952,115.8,-65.5
40.2027,-111.0947,106.9,-64.7
40.2027,-111.0944,102.5,-65.7
40.2027,-111.0939,104.5,-65.5
40.2027,-111.0936,110.7,-65.8
40.2028,-111.0932,117.7,-65.0
40.2028,-111.0929,124.5,-64.8
40.2028,-111.0924,131.9,-64.1
40.2028,-111.0921,140.7,-63.6
40.2028,-111.0916,149.4,-62.8
40.2028,-111.0913,154.6,-63.2
40.2028,-111.0908,153.8,-62.7
40.2028,-111.0905,148.2,-62.0
40.2028,-111.0901,141.0,-63.4
40.2028,-111.0898,134.3,-62.9
40.2028,-111.0893,129.1,-62.7
40.2028,-111.089,125.1,-62.0
40.2028,-111.0885,122.1,-62.1
40.2028,-111.0882,120.4,-61.7
40.2028,-111.0878,120.6,-61.2
40.2028,-111.0874,121.1,-61.5
40.2028,-111.087,119.5,-61.4
40.2028,-111.0867,114.9,-60.7
40.2028,-111.0862,109.0,-60.8
40.2028,-111.0859,104.9,-60.7
40.2028,-111.0854,103.6,-60.4
40.2028,-111.0851,104.8,-60.1
40.2028,-111.0847,108.4,-59.5
40.2028,-111.0844,115.1,-60.0
40.2028,-111.0839,124.7,-59.8
40.2028,-111.0836,135.9,-59.5
40.2028,-111.0831,146.7,-59.5
40.2028,-111.0828,156.1,-58.6
40.2028,-111.0823,163.2,-57.5
40.2028,-111.082,165.5,-58.2
40.2028,-111.0816,160.9,-57.3
40.2028,-111.0813,151.2,-57.8
40.2028,-111.0808,140.0,-57.6
40.2028,-111.0805,129.1,-57.4
40.2028,-111.08,118.0,-58.7
40.2028,-111.0797,107.6,-57.6
40.2028,-111.0793,99.1,-57.5
40.2028,-111.0789,92.5,-56.7
40.2028,-111.0785,86.5,-56.9
40.2028,-111.0782,80.5,-56.5
40.2028,-111.0777,76.2,-55.8
40.2028,-111.0774,74.5,-55.9
40.2028,-111.0769,75.6,-55.3
40.2028,-111.0766,79.0,-55.7
40.2028,-111.0762,83.8,-55.8
40.2028,-111.0758,88.9,-55.8
40.2028,-111.0754,94.6,-55.2
40.2028,-111.0751,102.0,-55.5
40.2028,-111.0746,110.0,-54.9
40.2028,-111.0743,116.2,-54.9
40.2028,-111.0738,120.3,-52.3
40.2028,-111.0735,123.7,-52.9
40.2028,-111.0731,127.4,-53.8
40.2028,-111.0728,132.6,-53.2
40.2028,-111.0723,142.2,-53.6
40.2028,-111.072,151.9,-52.3
40.2028,-111.0715,152.7,-50.6
40.2028,-111.0712,143.8,-49.2
40.2029,-111.0707,133.1,-50.0
40.2029,-111.0704,125.1,-49.4
40.2029,-111.07,121.0,-50.0
40.2029,-111.0697,121.1,-51.5
40.2029,-111.0692,124.4,-52.1
40.2029,-111.0689,130.1,-52.2
40.2029,-111.0684,137.2,-50.9
40.2029,-111.0681,143.0,-49.1
40.2029,-111.0677,143.6,-49.7
40.2029,-111.0673,138.3,-50.1
40.2029,-111.0669,131.5,-50.2
40.2029,-111.0666,127.4,-50.9
40.2029,-111.0661,126.2,-52.1
40.2029,-111.0658,126.0,-50.9
40.2029,-111.0653,125.5,-50.3
40.2029,-111.065,124.0,-49.6
40.2029,-111.0646,121.5,-46.9
40.2029,-111.0643,117.7,-46.9
40.2029,-111.0638,113.4,-46.8
40.2029,-111.0635,109.6,-46.7
40.2029,-111.063,106.2,-47.4
40.2029,-111.0627,102.4,-47.7
40.2029,-111.0622,98.7,-47.0
40.2029,-111.0619,96.5,-45.9
40.2029,-111.0615,95.7,-45.1
40.2029,-111.0612,95.8,-45.2
40.2029,-111.0607,97.1,-45.7
40.2029,-111.0604,99.3,-46.1
40.2029,-111.0599,101.1,-46.3
40.2029,-111.0596,102.0,-45.7
40.2029,-111.0592,101.9,-45.4
40.2029,-111.0588,101.0,-44.9
40.2029,-111.0584,100.7,-45.1
40.2029,-111.0581,102.5,-44.9
40.2029,-111.0576,106.2,-45.3
40.2029,-111.0573,110.3,-42.8
40.2029,-111.0568,113.2,-42.9
40.2029,-111.0565,113.2,-42.9
40.2029,-111.0561,110.6,-42.2
40.2029,-111.0558,108.3,-41.7
40.2029,-111.0553,108.6,-41.4
40.2029,-111.055,111.2,-40.3
40.2029,-111.0545,114.9,-41.0
40.2029,-111.0542,119.5,-40.8
40.2029,-111.0537,125.0,-41.1
40.2029,-111.0534,129.9,-41.0
40.2029,-111.053,132.4,-39.9
40.2029,-111.0527,132.8,-39.1
40.2029,-111.0522,132.1,-39.1
40.2029,-111.0519,129.7,-38.6
40.2029,-111.0514,124.0,-39.2
40.2029,-111.0511,115.4,-39.4
40.2029,-111.0506,106.4,-39.4
40.2029,-111.0503,99.4,-38.8
40.2029,-111.0499,95.4,-38.1
40.2029,-111.0496,95.6,-37.9
40.2029,-111.0491,100.7,-37.4
40.2029,-111.0488,109.3,-36.9
40.2029,-111.0483,118.3,-36.8
40.2029,-111.048,124.8,-36.9
40.203,-111.0476,126.7,-36.9
40.203,-111.0472,123.4,-36.7
40.203,-111.0468,117.0,-37.1
40.203,-111.0465,110.4,-36.4
40.203,-111.046,104.2,-35.9
40.203,-111.0457,98.4,-35.6
40.203,-111.0452,93.8,-35.1
40.203,-111.0449,91.9,-34.9
40.203,-111.0445,93.3,-36.0
40.203,-111.0442,97.2,-35.6
40.203,-111.0437,101.7,-35.8
40.203,-111.0434,105.3,-36.4
40.203,-111.0429,108.5,-34.5
