X,Y,Measurement
-9999.9,TRS,-142.2
-9999.9,TRS,-143.9
-9999.9,TRS,-149.1
-9999.9,QA,-146.4
-9999.9,QA,-149.9
-9999.9,QA,-146.5
-9999.9,QA,-142.1
-9999.9,QA,-145.7
-9999.9,QA,-142.2
-9999.9,QA,-145.0
-9999.9,TRS,-147.6
-9999.9,TRS,-152.9
-9999.9,TRS,-143.8
-9999.9,TRS,-142.4
-9999.9,TRS,-143.5
-9999.9,TRS,-147.4
-9999.9,TRS,-147.3
-9999.9,TRS,-141.1
-9999.9,TRS,-143.1
-9999.9,TRS,-139.9
-9999.9,TRS,-140.8
-9999.9,TRS,-133.6
-9999.9,TRS,-133.9
-9999.9,TRS,-146.4
-9999.9,TRS,-134.2
-9999.9,TRS,-134.7
-9999.9,TRS,-134.9
-9999.9,TRS,-140.5
-9999.9,TRS,-141.3
-9999.9,TRS,-139.1
-9999.9,TRS,-140.9
-9999.9,TRS,-135.9
-9999.9,TRS,-132.9
-9999.9,TRS,-135.0
-9999.9,TRS,-138.1
-9999.9,TRS,-140.4
-9999.9,QA,-137.5
-9999.9,QA,-142.0
-9999.9,QA,-133.1
-9999.9,QA,-139.4
-9999.9,QA,-140.2
-9999.9,QA,-141.8
-9999.9,QA,-137.3
-9999.9,QA,-133.1
-9999.9,QA,-129.1
-9999.9,QA,-130.6
-9999.9,QA,-133.6
-9999.9,QA,-134.4
-9999.9,QA,-125.5
-9999.9,QA,-136.3
-9999.9,QA,-129.3
-9999.9,QA,-132.7
-9999.9,QA,-132.7
-9999.9,QA,-128.2
-9999.9,QA,-133.1
-9999.9,QA,-132.3
-9999.9,QA,-127.6
-9999.9,QA,-128.9
-9999.9,QA,-131.9
-9999.9,QA,-127.7
-9999.9,QA,-125.8
-9999.9,QA,-124.5
-9999.9,QA,-126.1
-9999.9,QA,-125.7
-9999.9,QA,-129.9
-9999.9,QA,-125.2
-9999.9,QA,-120.2
-9999.9,QA,-126.5
-9999.9,QA,-125.1
-9999.9,QA,-128.1
-9999.9,QA,-130.1
-9999.9,QA,-129.2
-9999.9,QA,-121.2
-9999.9,QA,-122.2
-9999.9,QA,-127.0
-9999.9,QA,-125.7
-9999.9,QA,-119.8
-9999.9,QA,-128.9
-9999.9,QA,-123.9
-9999.9,QA,-127.7
-9999.9,QA,-113.2
-9999.9,QA,-121.5
-9999.9,QA,-115.7
-9999.9,QA,-119.4
-9999.9,QA,-121.8
-9999.9,QA,-123.2
-9999.9,QA,-119.2
-9999.9,QA,-121.9
-9999.9,QA,-122.7
-9999.9,QA,-118.8
-9999.9,QA,-127.0
-9999.9,QA,-123.1
-9999.9,QA,-121.8
-9999.9,QA,-122.3
-9999.9,QA,-118.6
-9999.9,QA,-126.0
-9999.9,QA,-117.3
-9999.9,QA,-119.2
-9999.9,QA,-120.7
-9999.9,QA,-115.7
-9999.9,QA,-115.3
-9999.9,QA,-115.6
-9999.9,QA,-116.9
-9999.9,QA,-117.7
-9999.9,QA,-110.8
-9999.9,QA,-116.9
-9999.9,QA,-117.8
-9999.9,QA,-114.3
-9999.9,QA,-111.9
-9999.9,QA,-116.7
-9999.9,QA,-109.2
-9999.9,QA,-118.2
-9999.9,QA,-110.9
-9999.9,QA,-107.9
-9999.9,QA,-109.5
-9999.9,QA,-109.8
-9999.9,QA,-109.0
-9999.9,QA,-107.6
-9999.9,QA,-104.1
-9999.9,QA,-113.4
-9999.9,QA,-101.4
-9999.9,QA,-103.5
-9999.9,QA,-99.5
-9999.9,QA,-99.8
-9999.9,QA,-106.3
-9999.9,QA,-94.3
-9999.9,QA,-97.5
-9999.9,QA,-104.2
-9999.9,QA,-94.3
-9999.9,QA,-100.9
-9999.9,QA,-88.1
-9999.9,QA,-86.6
-9999.9,QA,-77.2
-9999.9,QA,-85.0
-9999.9,QA,-87.1
-9999.9,QA,-82.2
-9999.9,QA,-80.7
-9999.9,QA,-79.7
-9999.9,QA,-76.3
-9999.9,QA,-75.9
-9999.9,QA,-69.7
-9999.9,QA,-70.5
-9999.9,QA,-71.0
-9999.9,QA,-70.1
-9999.9,QA,-69.6
-9999.9,QA,-68.3
-9999.9,QA,-61.1
-9999.9,QA,-64.8
-9999.9,QA,-59.2
-9999.9,QA,-61.0
-9999.9,QA,-54.3
-9999.9,QA,-49.4
-9999.9,QA,-54.9
-9999.9,QA,-48.1
-9999.9,QA,-50.1
-9999.9,QA,-47.9
-9999.9,QA,-45.5
-9999.9,QA,-37.7
-9999.9,QA,-36.0
-9999.9,QA,-37.2
-9999.9,QA,-37.9
-9999.9,QA,-38.8
-9999.9,QA,-35.3
-9999.9,QA,-29.3
