lat,long,corrected_magnetic
37.028,-113.2932,111.7
37.028,-113.2937,119.9
37.028,-113.2942,112.6
37.028,-113.2946,117.0
37.0281,-113.2951,117.1
37.0281,-113.2956,117.2
37.0281,-113.2961,115.6
37.0281,-113.2965,116.4
37.0281,-113.297,113.5
37.0281,-113.2975,116.8
37.0282,-113.298,121.1
37.0282,-113.2984,115.8
37.0282,-113.2989,116.2
37.0282,-113.2994,118.0
37.0282,-113.2999,120.2
37.0282,-113.3003,123.8
37.0283,-113.3008,126.3
37.0283,-113.3013,128.5
37.0283,-113.3017,122.2
37.0283,-113.3022,126.5
37.0283,-113.3027,117.5
37.0283,-113.3032,117.5
37.0284,-113.3036,122.3
37.0284,-113.3041,121.7
37.0284,-113.3046,125.8
37.0284,-113.3051,117.9
37.0284,-113.3055,124.9
37.0284,-113.306,126.0
37.0284,-113.3065,123.3
37.0284,-113.307,125.3
37.0285,-113.3075,123.6
37.0285,-113.308,121.9
37.0285,-113.3085,123.4
37.0285,-113.309,124.8
37.0285,-113.3094,123.0
37.0285,-113.3099,121.8
37.0285,-113.3104,125.7
37.0285,-113.3109,125.2
37.0285,-113.3114,115.0
37.0285,-113.3119,121.6
37.0285,-113.3124,128.4
37.0286,-113.3129,115.4
37.0286,-113.3133,119.6
37.0286,-113.3138,119.9
37.0286,-113.3143,120.6
37.0286,-113.3148,121.4
37.0286,-113.3153,116.7
37.0286,-113.3158,119.9
37.0286,-113.3163,122.2
37.0286,-113.3168,119.4
37.0286,-113.3172,124.5
37.0286,-113.3177,124.8
37.0287,-113.3182,112.9
37.0287,-113.3187,111.8
37.0287,-113.3192,114.2
37.0287,-113.3197,116.8
37.0287,-113.3202,110.2
37.0287,-113.3207,116.9
37.0287,-113.3211,111.4
37.0287,-113.3216,117.1
37.0287,-113.3221,119.3
37.0287,-113.3226,118.4
37.0287,-113.3231,113.7
37.0287,-113.3236,115.7
37.0288,-113.3241,116.2
37.0288,-113.3246,112.5
37.0288,-113.325,114.6
37.0288,-113.3255,121.7
37.0288,-113.326,113.0
37.0288,-113.3265,113.9
37.0288,-113.327,117.0
37.0288,-113.3275,111.4
37.0288,-113.328,113.3
37.0288,-113.3285,115.9
