lat,long,corrected_magnetic
38.0268,-112.6411,-238.1
38.0269,-112.6413,-239.6
38.0269,-112.6415,-243.2
38.0269,-112.6417,-243.1
38.0269,-112.6419,-248.4
38.027,-112.6421,-248.0
38.027,-112.6423,-240.8
38.027,-112.6425,-229.9
38.0271,-112.6428,-216.2
38.0271,-112.643,-210.9
38.0271,-112.6432,-220.9
38.0271,-112.6434,-247.8
38.0272,-112.6436,-275.1
38.0272,-112.6438,-299.4
38.0272,-112.644,-316.1
38.0273,-112.6442,-325.6
38.0273,-112.6444,-334.5
38.0273,-112.6446,-337.9
38.0274,-112.6448,-330.4
38.0274,-112.645,-315.9
38.0274,-112.6452,-309.1
38.0274,-112.6454,-309.0
38.0275,-112.6456,-311.9
38.0275,-112.6459,-317.1
38.0275,-112.6461,-321.8
38.0276,-112.6463,-324.3
38.0276,-112.6465,-327.7
38.0276,-112.6467,-329.1
38.0276,-112.6469,-327.6
38.0277,-112.6471,-327.6
38.0277,-112.6473,-321.4
38.0277,-112.6475,-311.9
38.0278,-112.6477,-303.8
38.0278,-112.6479,-288.0
38.0278,-112.6481,-271.8
38.0279,-112.6483,-252.9
38.0279,-112.6485,-226.9
38.0279,-112.6487,-203.4
38.0279,-112.649,-185.4
38.028,-112.6492,-163.6
38.028,-112.6494,-151.3
38.028,-112.6496,-150.6
38.0281,-112.6498,-171.2
38.0281,-112.65,-203.7
38.0281,-112.6502,-242.1
38.0281,-112.6504,-281.1
38.0282,-112.6506,-314.6
38.0282,-112.6508,-340.0
38.0282,-112.651,-338.9
38.0283,-112.6512,-326.4
38.0283,-112.6514,-299.0
38.0283,-112.6516,-280.8
38.0284,-112.6519,-265.7
38.0284,-112.6521,-241.5
38.0284,-112.6523,-199.9
38.0284,-112.6525,-130.2
38.0285,-112.6527,-56.2
38.0285,-112.6529,15.5
38.0285,-112.6534,69.2
38.0284,-112.6538,93.9
38.0284,-112.6543,101.1
38.0284,-112.6548,91.7
38.0284,-112.6553,75.9
38.0283,-112.6558,56.9
38.0283,-112.6562,46.3
38.0283,-112.6567,28.9
38.0283,-112.6572,-20.3
38.0282,-112.6577,-98.3
38.0282,-112.6581,-167.6
38.0282,-112.6586,-208.1
38.0282,-112.6591,-225.2
38.0281,-112.6596,-230.2
38.0281,-112.66,-233.7
38.0281,-112.6605,-236.9
38.0281,-112.661,-237.3
38.028,-112.6615,-232.8
38.028,-112.662,-222.6
38.028,-112.6624,-211.4
38.028,-112.6629,-202.8
38.0279,-112.6634,-192.4
38.0279,-112.6639,-181.6
38.0279,-112.6643,-170.6
38.0278,-112.6648,-161.2
38.0278,-112.6653,-154.2
38.0278,-112.6658,-146.8
38.0278,-112.6663,-140.9
38.0277,-112.6667,-135.1
38.0277,-112.6672,-130.9
38.0277,-112.6677,-126.0
38.0277,-112.6682,-121.3
38.0276,-112.6686,-114.8
38.0276,-112.6691,-107.7
38.0276,-112.6696,-103.7
38.0276,-112.6701,-102.1
38.0275,-112.6706,-102.6
38.0275,-112.671,-103.3
38.0275,-112.6715,-104.4
38.0275,-112.672,-106.5
38.0274,-112.6725,-110.3
38.0274,-112.6729,-116.1
38.0274,-112.6734,-124.1
38.0274,-112.6739,-136.2
38.0273,-112.6744,-150.6
38.0273,-112.6749,-166.0
38.0273,-112.6753,-182.6
38.0272,-112.6758,-193.0
38.0272,-112.6763,-199.9
38.0272,-112.6768,-214.6
38.0272,-112.6772,-251.1
38.0271,-112.6777,-295.6
38.0271,-112.6782,-347.8
38.0271,-112.6787,-392.7
38.0271,-112.6792,-434.7
38.027,-112.6796,-472.4
38.027,-112.6801,-513.3
38.027,-112.6806,-554.4
38.027,-112.6811,-597.7
38.0269,-112.6815,-644.3
38.0269,-112.682,-692.2
38.0269,-112.6825,-739.0
38.0269,-112.683,-782.5
38.0268,-112.6834,-819.4
38.0268,-112.6839,-849.1
38.0268,-112.6844,-878.1
38.0268,-112.6849,-901.6
38.0267,-112.6854,-914.6
38.0267,-112.6858,-941.1
38.0267,-112.6863,-962.9
38.0266,-112.6868,-992.2
38.0266,-112.6873,-1015.0
38.0266,-112.6877,-1026.5
38.0266,-112.6882,-1023.0
38.0265,-112.6887,-1006.8
38.0265,-112.6892,-986.6
38.0265,-112.6897,-973.0
38.0265,-112.6901,-962.0
38.0264,-112.6906,-948.0
38.0264,-112.6911,-932.9
38.0264,-112.6916,-911.2
38.0264,-112.692,-884.8
38.0263,-112.6925,-852.9
38.0263,-112.693,-820.0
38.0263,-112.6935,-789.3
38.0263,-112.694,-763.1
38.0263,-112.727,83.6
38.0263,-112.7275,82.2
38.0263,-112.7281,81.0
38.0264,-112.7286,84.6
38.0264,-112.7292,78.7
38.0264,-112.7297,81.6
38.0265,-112.7303,88.5
38.0265,-112.7308,84.9
38.0266,-112.7314,85.7
38.0266,-112.7319,86.4
38.0266,-112.7325,86.8
38.0267,-112.733,85.6
38.0267,-112.7336,83.7
38.0267,-112.7341,83.9
38.0268,-112.7347,83.4
38.0268,-112.7352,82.9
38.0269,-112.7358,81.6
38.0269,-112.7364,77.9
38.0269,-112.7369,74.6
38.027,-112.7375,74.3
38.027,-112.738,68.5
38.027,-112.7386,69.6
38.0271,-112.7391,62.3
38.0271,-112.7397,52.0
38.0271,-112.7402,46.8
38.0272,-112.7408,37.5
38.0272,-112.7413,20.0
38.0273,-112.7419,13.8
38.0273,-112.7424,-8.3
38.0273,-112.743,-21.4
38.0274,-112.7435,-35.7
38.0274,-112.7441,-54.2
38.0274,-112.7446,-71.7
38.0275,-112.7452,-96.4
38.0275,-112.7457,-122.7
38.0276,-112.7463,-156.5
38.0276,-112.7468,-189.7
38.0276,-112.7474,-228.0
38.0277,-112.7479,-250.8
38.0277,-112.7485,-278.2
38.0277,-112.749,-300.0
38.0278,-112.7496,-317.9
38.0278,-112.7501,-337.4
38.0278,-112.7507,-359.4
38.0279,-112.7512,-388.5
38.0279,-112.7518,-415.0
38.028,-112.7523,-446.6
38.028,-112.7529,-478.9
38.028,-112.7534,-508.3
38.0281,-112.754,-532.7
38.0281,-112.7545,-552.1
38.0281,-112.7551,-560.4
38.0282,-112.7556,-560.7
38.0282,-112.7562,-548.7
38.0282,-112.7567,-524.5
38.0283,-112.7573,-491.3
38.0283,-112.7578,-447.8
38.0284,-112.7584,-395.6
38.0284,-112.7589,-342.6
38.0284,-112.7595,-285.4
38.0285,-112.7601,-230.2
38.0285,-112.7606,-166.2
38.0285,-112.7612,-113.2
38.0286,-112.7617,-52.8
38.0286,-112.7623,5.8
38.0287,-112.7628,54.9
38.0287,-112.7634,102.0
38.0287,-112.7639,139.1
38.0288,-112.7645,171.8
38.0288,-112.765,199.7
38.0288,-112.7656,222.1
38.0289,-112.7661,241.4
38.0289,-112.7667,255.2
38.0289,-112.7672,265.6
38.029,-112.7678,272.2
38.029,-112.7683,273.0
38.0291,-112.7689,266.5
38.0291,-112.7694,254.0
38.0291,-112.77,235.4
38.0292,-112.7705,216.4
